input_text,target_text
"With nearly 6000 species, Syrphidae represents one of the largest families of Diptera. Their widespread distribution, availability of excellent taxonomic keys for species identification (particularly in Europe), and differences in environmental requirements of larvae are features that promote Syrphidae as potentially good bioindicators. This paper presents a brief description of Syrphid morphology, biology and collection methods, followed by examples of their application as monitors of environmental conditions. Given the high mobility of adults, Syrphidae are probably most suitable for environmental evaluation at a larger scale, e.g., for assessment of landscape diversity. Future research aimed at a better understanding the environmental requirements of both adults and larvae should promote the utilization of these insects as bioindicators.","bioindicators, larval biology, landscape diversity, syrphidae, hoverflies, species identification"
"The use of efficiency or payoff matrix in determining selection of treatment is brought to the attention of clinical psychologists. It is pointed out that a quantitative method for reaching decisions is essential where alternative treatments are available and outcomes are uncertain. The matrix approach demonstrates the necessity for the decision-maker to have information which is not normally available at present. The approach suggests an expansion of the role of the clinical psychologist as diagnostician to include elements of operations research. (PsycINFO Database Record (c) 2006 APA, all rights reserved)","matrix, clinic, psychotherapy, quantitative psychological assessment, quantitative matrix psychological assessment, treatment, psychological assessment, decision maker, quantitative method, operations research"
"A bottom flange friction device (BFFD) has been developed as an energy dissipation device for self-centering post-tensioned steel beam-to-column connections for moment-resisting frames (MRFs). The BFFD is located beneath the beam to avoid interference with a floor slab. Since the BFFD is attached to only one flange, a connection with a BFFD has an asymmetric behavior with different positive and negative moment capacities. To investigate the behavior of a self-centering MRF with BFFDs, static and dynamic analyses were performed, and the results were compared to those of a similar frame with connections that have a symmetric behavior. It was found that the asymmetric behavior of the MRF with BFFDs leads to increased inelastic strain in the beam top flange, which may lead to beam flange buckling. These inelastic strains can be reduced by using longer top flange reinforcing plates.","steel moment connection, friction, self-centering moment resisting frame, post-tensioning, energy dissipation"
"This paper investigates the relationship between R&D and corporate performance. The study extends previous research by examining the conditions under which firms benefit from R&D; by incorporating in the analysis the varying costs of R&D inputs; and by employing an opportunity-cost approach that estimates the monetary returns to R&D. The findings indicate that industrial research generates revenues that are significantly higher than the returns that other investments yield. The study also resolves previously conflicting results concerning firm size, and offers new insights on the role of technological opportunities that contradict past studies. Although the potential for innovation is greater in high-tech industries, intense R&D competition prevents technologically dynamic firms from enjoying high returns to R&D. By contrast, the results demonstrate that low-tech firms use R&D successfully as part of their strategies, implying that prior research underestimates the importance of R&D for these firms.","research and development, innovation, returns to r&d, opportunity cost"
"Prostate cancer is the second highest caused by cancer-related death among males. microRNAs (miRs) have been reported to participate in carcinogenesis, yet their roles in prostate cancer are rarely studied or investigated. Therefore, the present study attempted to explore the effect of miR-137 in prostate cancer via regulating NADPH oxidase 4 (NOX4). Initially, microarray analysis was performed to obtain prostate cancer-related differentially expressed genes and miRs that regulated NOX4, followed by detecting the expression of miR-137 and NOX4 and its target relationship. Moreover, PC-3 cells were transfected with small interfering RNA (siNOX4) and miR-137 mimic for exploring the effect of miR-137 on glycolysis, cell proliferation, and apoptosis in prostate cancer by evaluating lactate production, glucose uptake, adenosine triphosphate (ATP) production, viability rate, and expression of cleaved caspases 3, 8, and 9, cytochrome c, cleaved poly ADP ribose polymerase (PARP), Bax, and Bcl-2. miR-137 was vital to prostate cancer progression via regulating NOX4. Besides, miR-137 expressed poorly while NOX4 expressed highly in prostate cancer. NOX4 was the target gene of miR-137. Additionally, overexpression of miR-137 and silencing of NOX4 were observed to decrease NOX4 and Bcl-2 protein expression, but increase cleaved caspases 3, 8, and 9, cytochrome c, cleaved-PARP, and Bax protein expression. Furthermore, miR-137 overexpression and NOX4 silencing contributed to decreased lactate production, glucose uptake, ATP production, and cell proliferation, but increased apoptosis rate. Collectively, the present study showed that miR-137 repressed glycolysis in prostate cancer through knockdown of NOX4, which might be a potential theoretical target for prostate cancer treatment.","NADPH oxidase 4, apoptosis, glycolysis, microRNA-137, proliferation, prostate cancer"
"Browsing the DOM tree of an XML document is an act of following the links among the nodes of the DOM tree to find some desired nodes without any knowledge for search. When the structure of the XML document is not known to a user, browsing is the basic operation performed for referring the contents of the XML document. If the size of the XML document is very large, however, using a general-purpose XML parser for browsing the DOM tree of the XML document to access arbitrary node may suffer from the lack of memory space for constructing the large DOM tree. To alleviate this problem, we suggest a method to browse the DOM tree of a very large XML document by splitting the XML document into n small XML documents and generating sequentially the DOM tree of each of those small n XML documents. For later reference, the information of some nodes accessed from the DOM tree already generated has been also kept using the concept of their virtual nodes. With our suggested approach, the memory space necessary for browsing the DOM tree of a very large XML document is reduced such that it can be managed by a personal computer.","basic operation, large dom tree, arbitrary node, dom, general-purpose xml parser, dom tree, very large xml documents, xml, n small xml document, small n xml document, large xml document, xml document, memory space"
"Little is known about racial/ethnic differences in the receipt of treatment for major depression in adolescents. This study examined differences in mental health service use in non-Hispanic white, black, Hispanic, and Asian adolescents who experienced an episode of major depression.Five years of data (2004-2008) were pooled from the National Survey on Drug Use and Health to derive a nationally representative sample of 7,704 adolescents (12-17 years old) diagnosed with major depression in the past year. Racial/ethnic differences were estimated with weighted probit regressions across several measurements of mental health service use controlling for demographics and health status. Additional models assessed whether family income and health insurance status accounted for these differences.The adjusted percentages of blacks (32%), Hispanics (31%), and Asians (19%) who received any treatment for major depression were significantly lower than those of non-Hispanic whites (40%; p < .001). Black, Hispanic, and Asian adolescents were also significantly less likely than non-Hispanic whites to receive prescription medication for major depression, to receive treatment for major depression from a mental health specialist or medical provider, and to receive any mental health treatment in an outpatient setting (p < .01). These differences persisted after adjusting for family income and insurance status.Results indicated low rates of mental health treatment for major depression in all adolescents. Improving access to mental health care for adolescents will also require attention to racial/ethnic subgroups at highest risk for non-receipt of services.","mental health services, depression, ethnicity, race, comparative analysis, mental health, regression analysis, ethnic groups, drug therapy"
"This study tried to evaluate a hypothesis drawn from clinical impressions and from suggestive incidental data of prior research that concerns about body intactness will be reflected in a Wechsler subtest pattern where the Object Assembly (OA) score is lower than those of other subtests. OA scores were found to be significantly lower in children with bodily concerns than in a control group, and there were no other significant differences on other WISC subtests. Rorschachs of adult patients with low and high OA scores were compared and there was a significantly greater percentage of Rorschach responses indicating bodily concern in the group scoring low in OA. These findings are discussed in relation to the assessment of cognitive processes and ego functions in diagnostic testing, the process of clinical inference and prior research on body image. (PsycINFO Database Record (c) 2006 APA, all rights reserved)","& wechsler object assembly test, wechsler intelligence scale for children -wisc-, body, personality & abilities, concerns about, object assembly, & bodily concerns, control group, diagnostic test, cognitive process"
"An experimental investigation of the seismic behaviour of flush end-plate joints is presented. Eight beam-to-column sub-assemblage specimens are tested under monotonic and cyclic loading conditions. The specimen details were varied to ensure a range of failure modes including both end-plate and bolt yielding. Individual connections displayed the same failure mode in both cyclic and monotonic loading conditions. The experimental results are presented in terms of stiffness, moment capacity, rotation capacity and hysteresis curves. The observed response variables are compared with design values obtained using the mechanical model employed in Eurocode 3. The model is seen to predict the mode of failure well, but to over-predict stiffness and under-predict moment capacity. The implications of the test results for the applicability of this joint type to the earthquake-resistant design of moment-resisting steel frames is discussed.","rotation capacity, cyclic response, moment connections, failure mode"
"Early Clinical Exposure (ECE) programs are an increasingly widespread component of undergraduate medical education. Little systematic research exists on the topic. This report compares the approach and cost/benefits of two parallel ECE programs at the Sackler School of Medicine, Tel Aviv University.The two ECE programs were compared using student questionnaires, faculty questionnaires, focus groups and participant-observations.ECE for American medical students in Israel was based upon a semi-structured mentoring relationship with a hospital-based specialist, in which students were able to practice interviewing skills. ECE for Israeli students emphasized structured exposure to a wide variety of primary care settings and informal patient contact. Both ECEs were supplemented by campus-based small group discussion. Students, preceptors and group leaders in both ECEs all reported very high levels of satisfaction and perceived impact on medical training.There appears to be no ""best"" way to conduct ECE. The ECE should be tailored to the specific needs and goals of the student population. Further research and international comparison is needed.","israel, clinical exposure, medical education, clinical education, medical students, innovation., focus group, participant observation"
"Long stretches of ""rare"" codons are known to severely inhibit the efficiency of translation. Understanding the distribution of such rare codons is of critical importance in improving the efficiency of heterologous gene expression systems. Accurate estimates of codon usage take the abundance of each protein into consideration. In this paper, we analyze the correlation between approximate measures of codon usage and the availability of tRNA at various growth rates in E coli. We show that the computationally derived estimates of tRNA isoacceptor concentration enable the finding of poorly translated codons.","e coli, codon usage, codons, frequency, trna, biomedical research, bioinformatics"
"Patients with multiple myeloma (MM) often develop renal manifestations. The majority of cases present as cast nephropathy, amyloid light-chain (AL) amyloidosis, and monoclonal immunoglobulin deposition disease. AL amyloidosis usually involves the glomeruli, blood vessels, and interstitium. It is extremely uncommon to find isolated intratubular deposition of AL amyloid. Our patient presented with rapid worsening of renal function due to isolated intratubular deposition of AL amyloid, where the biopsy revealed amyloid proximal tubulopathy and amyloid cast nephropathy. Our case provides new insights into the complicated pathophysiology of the abnormal light chains in MM. This case is, to our knowledge, the second case of amyloid proximal tubulopathy reported in literature.","Amyloid cast nephropathy, amyloid proximal tubulopathy, amyloidosis, multiple myeloma"
"Heart sounds produce an incessant noise during lung sounds recordings. This noise severely contaminates the breath sounds signal and interferes in the analysis of lung sounds. In this paper, the use of a wavelet transform domain filtering technique as an adaptive de-noising tool, implemented in lung sounds analysis, is presented. The multiresolution representations of the signal, produced by wavelet transform, are used for signal structure extraction. In addition, the use of hard thresholding in the wavelet transform domain results in a separation of the nonstationary part of the input signal (heart sounds) from the stationary one (lung sounds). Thus, the location of the heart sound noise (1st and 2nd heart sound peaks) is automatically detected, without requiring any noise reference signal. Experimental results have shown that the implementation of this wavelet-based filter in lung sound analysis results in an efficient reduction of the superimposed heart sound noise, producing an almost noise-free output signal. Due to its simplicity and its fast implementation the method can easily be used in clinical medicine.","stationary-nonstationary outputs, lung sounds, noise reduction, wavelets, heart sounds, wavelet transform"
"Atomic force microscopy (AFM) was used to study the effect of adsorption of humic substances onto a goethite-coated mica surface, on the forces between the goethite surface and a silica colloidal probe. The positively charged goethite surface (at pH < 7) resulted in strong adsorption of humic substances. The adsorption process could be controlled by altering the solution concentration, pH and exposure time. Force versus distance curves were measured directly by AFM between a silica sphere colloidal probe and the planar goethite-coated mica surface, with and without the presence of humic substances. The thickness of the adsorbed layer was estimated to be about 5 nm from the force curves. These experiments demonstrate the influence of adsorbed humic substances on the surface charge of goethite, which has direct relevance to the colloid stability of natural aquatic particles.","humic substances, colloid stability, atomic force microscopy, surface charge, goethite"
"A new 1 km global IIASA-IFPRI cropland percentage map for the baseline year 2005 has been developed which integrates a number of individual cropland maps at global to regional to national scales. The individual map products include existing global land cover maps such as GlobCover 2005 and MODIS v.5, regional maps such as AFRICOVER and national maps from mapping agencies and other organizations. The different products are ranked at the national level using crowdsourced data from Geo-Wiki to create a map that reflects the likelihood of cropland. Calibration with national and subnational crop statistics was then undertaken to distribute the cropland within each country and subnational unit. The new IIASA-IFPRI cropland product has been validated using very high-resolution satellite imagery via Geo-Wiki and has an overall accuracy of 82.4%. It has also been compared with the EarthStat cropland product and shows a lower root mean square error on an independent data set collected from Geo-Wiki. The first ever global field size map was produced at the same resolution as the IIASA-IFPRI cropland map based on interpolation of field size data collected via a Geo-Wiki crowdsourcing campaign. A validation exercise of the global field size map revealed satisfactory agreement with control data, particularly given the relatively modest size of the field size data set used to create the map. Both are critical inputs to global agricultural monitoring in the frame of GEOGLAM and will serve the global land modelling and integrated assessment community, in particular for improving land use models that require baseline cropland information. These products are freely available for downloading from the http://cropland.geo-wiki.org website.","agricultural intensity, cropland, data fusion, field size, land cover, synergy map, satellites, agriculture"
"Reports of motor polyneuropathies in young cats are scarce. Further, in-depth electrophysiologic evaluation to confirm a motor polyneuropathy in young cats of various breeds other than 2 Bengal cats is lacking.To confirm a motor polyneuropathy in young cats of various breeds.Five young cats with heterogenous chronic or relapsing episodes of weakness.Retrospective case series. Cats were presented for evaluation of generalized neuromuscular disease and underwent electrophysiologic examination including electromyography, nerve conduction, and repetitive nerve stimulation. Minimum database and muscle and nerve biopsy analyses were carried out. Descriptive statistics were performed.Disease onset was at 3 months to 1 year of age and in 5 breeds. The most common clinical sign (5 of 5 cats) was weakness. Additional neurologic deficits consisted of palmigrade and plantigrade posture (4/4), low carriage of the head and tail (4/4), and variable segmental reflex deficits (5/5). Motor nerve conduction studies were abnormal for the ulnar (4/4), peroneal (5/5), and tibial (2/2) nerves (increased latencies, reduced amplitudes, slow velocities). A marked decrement was observed on repetitive nerve stimulation of the peroneal nerve in 3 cats for which autoimmune myasthenia gravis was ruled out. All sensory nerve conduction studies were normal. Histologic evaluation of muscle and nerve biopsies supported heterogenous alterations consistent with motor polyneuropathy with distal nerve fiber loss.Heterogenous motor polyneuropathies should be considered in young cats of any breed and sex that are presented with relapsing or progressive generalized neuromuscular disease.","feline, nerve conduction, neuromuscular, weakness"
"Purpose: The aim of this study was to evaluate the usefulness of magnetic resonance cholangiography (MRC) for the diagnosis of biliary atresia in infantile cholestatic jaundice. Methods: Forty-seven consecutive infants with cholestatic jaundice underwent single-shot MRC. The diagnosis of biliary atresia was made by MRC based on the nonvisualization of extrahepatic bile ducts and excluded on the basis of the complete visualization of extrahepatic bile ducts. The final diagnosis of biliary atresia (BA group, n = 23) or nonbiliary atresia (NBA group, n = 24) was established by operation or clinical follow-up until the jaundice resolved. Results: The extrahepatic bile ducts including the gallbladder, the cystic duct, the common bile duct, and the common hepatic duct were visualized in 23 of the 24 infants of the NBA group. The extrahepatic bile ducts, except the gallbladder, were not depicted in any infant of the BA group. MRC had an accuracy of 98%, sensitivity of 100% and specificity of 96%, for diagnosis of biliary atresia as the cause of infantile cholestatic jaundice. Conclusions: MRC is a very reliable noninvasive imaging modality for the diagnosis of biliary atresia. In infants with cholestatic jaundice and considered for exploratory laparotomy, MRC is recommended to avoid unnecessary surgery.","index words: biliary atresia, cholestatic jaundice, mag- netic resonance cholangiography., magnetic resonance"
"Although it is claimed that, among other features, aspect-oriented programming (AOP) increases understandability and eases the maintenance burden, this technology cannot provide correctness by itself, and thus it also requires the use of systematic verification, validation and testing (VV&T) approaches. With the purpose of producing high quality software, many approaches to apply structural testing criteria for the unit testing of procedural and object-oriented (OO) programs have been proposed. Nevertheless, until now, few works have addressed the application of such criteria to test aspect-oriented programs. In this paper we define a family of control flow and data flow based testing criteria for aspect-oriented programs inspired by the implementation strategy adopted by AspectJ - an aspect-oriented extension of the Java language - and extending a previous work proposed for Java programs. We propose the derivation of a control and data flow model for aspect-oriented programs based upon the static analysis of the object code (the Java bytecode) resulted from the compilation/weaving process. Using this model, called aspect-oriented def-use graph (AODU), traditional and also aspect-oriented testing criteria are defined (called Control and Data Flow Structural Testing Criteria for Aspect-Oriented Programs - CDSTC-AOP). The main idea is that composition of aspect-oriented programs leads to new crosscutting interfaces in several modules of the system, which must be considered for coverage during structural testing. The implementation of a prototype tool - the JaBUTi/AJ tool - to support the proposed criteria and model is presented along with an example. Also, theoretical and practical questions regarding the CDSTC-AOP criteria are discussed.","aspect-oriented program, aspect-oriented testing criterion, aspect-oriented extension, software testing, aspect-oriented programming, java language, structural testing, java bytecode, unit testing, testing criteria, testing aspect-oriented programs, aspect-oriented def-use graph, structural testing criterion, static analysis, aspect oriented, aspect oriented programming, control flow, data flow, object oriented"
"Most infants undergoing an ultrasound to rule out pyloric stenosis will have a negative study, suggesting the low accuracy of clinical assessment. The purpose of this study was to evaluate the feasibility of using a Bayesian network to improve the accuracy of diagnosing pyloric stenosis.Records of 118 infants undergoing an ultrasound to rule out pyloric stenosis were reviewed. Data from 88 (75%) infants were used to train a Bayesian decision network that predicted the probability of pyloric stenosis using risk factors, signs, and symptoms of the disease. The emergency department records of the remaining 28 (25%) infants were used to test the network. Two groups of pediatric surgeons and pediatric emergency medicine physicians were asked to predict the probability of pyloric stenosis in the testing set: (1) physicians using the network and (2) physicians using only emergency department records. Accuracy was evaluated using area under the ROC curve (discrimination) and Hosmer-Lemeshow (H-L) c-statistic (calibration).Physicians using the Bayesian decision network better predicted the probability of pyloric stenosis among infants in the testing set than those not using the network (ROC 0.973 vs 0.882; H-L c-statistic 3.9 [P > .05] vs 24.3 [P < .05]). Physicians using the network would have ordered 22% fewer ultrasounds and missed no cases of pyloric stenosis.The use of a Bayesian decision network may improve the accuracy of physicians diagnosing infants with possible pyloric stenosis. Use of this decision tool may safely reduce the need for imaging among infants with suspected pyloric stenosis.","pyloric stenosis, diagnosis, computed-assisted, bayes theorem, ultrasound, bayesian network"
"This article investigates joint-development activities within online consumer groups. While research on user-innovations within communities exists for open source software as well as for emerging extreme sports like kite-surfing or rodeo kayaking in offline contexts, this study focuses on innovation activities within online consumer communities for basketball shoes, a physical consumer product in a mature market. The research shows that a small number of consumers are highly creative and possess sufficient domain specific skills and motivation to develop new innovative basketball shoes. While many community members state their experiences and problems with existing shoe models, those actively participating in joint-innovation activities tend to be driven by excitement rather than by pure need for product improvement. The high quality and variety of innovations, and general willingness of community members to share their ideas with producers, lead to the discussion of how to integrate creative online communities into a company's innovation process.","consumer goods, new product development, innovation, virtual consumer integration, knowledge creation, online community, innovation process"
Psychological contracts are more likely to be fulfilled when the parties to the contract develop mutuality (agreement) concerning the expectations and obligations of both parties. This study explores the impact of psychological contract mutuality about career development responsibility and job security on the in-role and organizational citizenship behavior (OCB) performance of employees. These relationships are also tested to see if they vary by the managerial vs. non-managerial job level of the employee.,"job level, employee performance, organizational citizenship behaviors, psychological contracts, mutuality, organizational citizenship behavior, psychological contract"
"This study presents the development of the ductile detail of a T-stiffener added to existing moment connections. The seismic behavior of the aforementioned detail was investigated analytically as well as experimentally. A new design criterion is developed for a horizontal element of T-stiffener. Results of this study indicate that the crack propagation is eliminated using the new proposed procedure. This means that by utilizing a fillet weld as a replacement for a CJP groove weld in joining the T-stiffener to a beam flange eliminates crack propagation at the tip of the T-stiffener on the beam flange. In the experimental program, the specimens performed well during the test and reached a total story drift angle of 6% radians before experiencing 20% strength degradation.","crack, ductility, t-stiffener, retrofitting, weld, connections, crack propagation"
"In children, lesions of the pancreas often are small, and precise localization is required for optimal surgical management. We have used newer-generation real-time ultrasonography of the pancreas intraoperatively in seven children. Five of these children had hypoglycemia, hyperin-sulinemia, and insulimomas; one had a persistent small pancreatic pseudocyst with a disrupted secondary duct, and one had familial pancreatitis with a remarkably enlarged duct and a stone. Two of the five with adenomas had multiple endoctine neoplasia syndrome I (MEN I syndrome); in them, ultrasonography localized several adenomas preoperatively and several additional adenomas intraoperatively. This allowed a 90% pancreatectomy with enucleation of smak adenomas in the remaining head. One child had a nonpalpable insulinoma deep in the head of the pancreas; intraoperative ultrasonography localized the lesion and permitted successful enucleation. Another child with a small pseudocyst and a disrupted secondary pancreatic duct ultimately required surgical drainage; intraoperative ultrasonography of the inflammatory mass immediately localized the small pseudocyst and thus decreased the operative time. The child with familial pancreatitis appeared to require a surgical drainage procedure; however, intraoperative ultrasonography demonstrated that the stone had passed spontaneously just prior to operation and the duct size had returned to normal, eliminating the neod for the drainage procedure at that time.","intraoperative ultrasonography, pediatric pancreatic lesions, insulinoma, ultrasonography"
"Critical limb ischemia (CLI) is a severe form of peripheral artery disease associated with high morbidity and mortality. The primary therapeutic goals in treating CLI are to reduce the risk of adverse cardiovascular events, relieve ischemic pain, heal ulcers, prevent major amputation, and improve quality of life (QoL) and survival. These goals may be achieved by medical therapy, endovascular intervention, open surgery, or amputation and require a multidisciplinary approach including pain management, wound care, risk factors reduction, and treatment of comorbidities. No-option patients are potential candidates for the novel angiogenic therapies. The application of genetic, molecular, and cellular-based modalities, the so-called therapeutic angiogenesis, in the treatment of arterial obstructive diseases has not shown consistent efficacy. This article summarizes the current status related to the management of patients with CLI and discusses the current findings of the emerging modalities for therapeutic angiogenesis.","cell therapy, critical limb ischemia, endovascular therapy, gene therapy, medical therapy, surgical therapy, therapeutic angiogenesis"
"Background: The Emerging Infections Network is a mature electronic network that links Public Health professionals in the Asia Pacific through regular e-mail bulletins and an extensive Web site ( http://www.apec.org/infectious ). Emerging infections is a new area of study; learning materials help foster education. Our objective is to quantify the response of the network to the introduction of distance-learning materials on the Web site. Methods: Distance-learning materials, developed by the University of Washington School of Public Health, were field tested and launched on the site. Publicity was carried out prior to the launch of the materials. Access was tracked prospectively using server counts of page downloads. Results: Web access increased substantially during the month after the materials were launched, especially among Asia based computers. The effect was isolated to the distance-learning pages, and not general to the site. Conclusions: This Web site appears to be responsive to the advertisement and to the materials. Prospective Web-site monitoring proved useful.","web accessibility, distance learning, telecommunications, public health, technology assessment"
